Timestamp,Date,Funding Rate,APY (annualized)
1734087600126,2024-12-13T11:00:00.126Z,1.038695e-4,68.24
1734091200121,2024-12-13T12:00:00.121Z,9.251530e-5,60.78
1734094800121,2024-12-13T13:00:00.121Z,1.250000e-5,8.21
1734098400156,2024-12-13T14:00:00.156Z,2.484780e-5,16.33
1734102000115,2024-12-13T15:00:00.115Z,8.792210e-5,57.76
1734105600002,2024-12-13T16:00:00.002Z,1.369370e-5,9.00
1734109200046,2024-12-13T17:00:00.046Z,1.250000e-5,8.21
1734112800025,2024-12-13T18:00:00.025Z,1.250000e-5,8.21
1734116400049,2024-12-13T19:00:00.049Z,2.133244e-4,140.15
1734120000020,2024-12-13T20:00:00.020Z,5.015260e-5,32.95
1734123600110,2024-12-13T21:00:00.110Z,2.763379e-4,181.55
1734127200090,2024-12-13T22:00:00.090Z,1.518819e-4,99.79
1734130800117,2024-12-13T23:00:00.117Z,7.961410e-5,52.31
1734134400106,2024-12-14T00:00:00.106Z,4.642010e-5,30.50
1734138000050,2024-12-14T01:00:00.050Z,2.518960e-5,16.55
1734141600070,2024-12-14T02:00:00.070Z,1.607270e-5,10.56
1734145200014,2024-12-14T03:00:00.014Z,1.250000e-5,8.21
1734148800050,2024-12-14T04:00:00.050Z,4.366990e-4,286.91
1734152400058,2024-12-14T05:00:00.058Z,3.285844e-4,215.88
1734156000017,2024-12-14T06:00:00.017Z,1.422665e-4,93.47
1734159600128,2024-12-14T07:00:00.128Z,8.658140e-5,56.88
1734163200018,2024-12-14T08:00:00.018Z,8.229260e-5,54.07
1734166800077,2024-12-14T09:00:00.077Z,1.254169e-4,82.40
1734170400045,2024-12-14T10:00:00.045Z,2.366409e-4,155.47
1734174000086,2024-12-14T11:00:00.086Z,3.137177e-4,206.11
1734177600067,2024-12-14T12:00:00.067Z,1.250000e-5,8.21
1734181200024,2024-12-14T13:00:00.024Z,2.012282e-4,132.21
1734184800138,2024-12-14T14:00:00.138Z,3.889450e-5,25.55
1734188400014,2024-12-14T15:00:00.014Z,5.581380e-5,36.67
1734192000145,2024-12-14T16:00:00.145Z,2.845413e-4,186.94
1734195600175,2024-12-14T17:00:00.175Z,3.410685e-4,224.08
1734199200080,2024-12-14T18:00:00.080Z,2.567416e-4,168.68
1734202800001,2024-12-14T19:00:00.001Z,9.317450e-5,61.22
1734206400132,2024-12-14T20:00:00.132Z,1.676059e-4,110.12
1734210000117,2024-12-14T21:00:00.117Z,5.189629e-4,340.96
1734213600120,2024-12-14T22:00:00.120Z,3.863953e-4,253.86
1734217200155,2024-12-14T23:00:00.155Z,2.001184e-4,131.48
1734220800140,2024-12-15T00:00:00.140Z,3.836612e-4,252.07
1734224400156,2024-12-15T01:00:00.156Z,6.044992e-4,397.16
1734228000137,2024-12-15T02:00:00.137Z,3.427686e-4,225.20
1734231600012,2024-12-15T03:00:00.012Z,5.885984e-4,386.71
1734235200045,2024-12-15T04:00:00.045Z,3.984370e-4,261.77
1734238800063,2024-12-15T05:00:00.063Z,9.348800e-5,61.42
1734242400037,2024-12-15T06:00:00.037Z,2.420844e-4,159.05
1734246000190,2024-12-15T07:00:00.190Z,2.344557e-4,154.04
1734249600001,2024-12-15T08:00:00.001Z,2.376952e-4,156.17
1734253200193,2024-12-15T09:00:00.193Z,3.400772e-4,223.43
1734256800095,2024-12-15T10:00:00.095Z,7.765830e-5,51.02
1734260400117,2024-12-15T11:00:00.117Z,1.447347e-4,95.09
1734264000054,2024-12-15T12:00:00.054Z,3.709927e-4,243.74
1734267600108,2024-12-15T13:00:00.108Z,2.655560e-4,174.47
1734271200120,2024-12-15T14:00:00.120Z,2.512589e-4,165.08
1734274800039,2024-12-15T15:00:00.039Z,1.273824e-4,83.69
1734278400054,2024-12-15T16:00:00.054Z,1.717262e-4,112.82
1734282000043,2024-12-15T17:00:00.043Z,9.877860e-5,64.90
1734285600004,2024-12-15T18:00:00.004Z,2.085287e-4,137.00
1734289200034,2024-12-15T19:00:00.034Z,1.180669e-4,77.57
1734292800007,2024-12-15T20:00:00.007Z,1.250000e-5,8.21
1734296400025,2024-12-15T21:00:00.025Z,6.712980e-5,44.10
1734300000004,2024-12-15T22:00:00.004Z,2.239026e-4,147.10
1734303600059,2024-12-15T23:00:00.059Z,2.019878e-4,132.71
1734307200057,2024-12-16T00:00:00.057Z,3.080152e-4,202.37
1734310800062,2024-12-16T01:00:00.062Z,2.301794e-4,151.23
1734314400100,2024-12-16T02:00:00.100Z,2.519551e-4,165.53
1734318000020,2024-12-16T03:00:00.020Z,1.004813e-4,66.02
1734321600126,2024-12-16T04:00:00.126Z,7.788620e-5,51.17
1734325200134,2024-12-16T05:00:00.134Z,1.970152e-4,129.44
1734328800044,2024-12-16T06:00:00.044Z,1.953865e-4,128.37
1734332400124,2024-12-16T07:00:00.124Z,1.228491e-4,80.71
1734336000011,2024-12-16T08:00:00.011Z,1.250000e-5,8.21
1734339600164,2024-12-16T09:00:00.164Z,1.792460e-5,11.78
1734343200129,2024-12-16T10:00:00.129Z,1.250000e-5,8.21
1734346800125,2024-12-16T11:00:00.125Z,1.711340e-4,112.44
1734350400065,2024-12-16T12:00:00.065Z,2.181483e-4,143.32
1734354000027,2024-12-16T13:00:00.027Z,1.225959e-4,80.55
1734357600037,2024-12-16T14:00:00.037Z,2.331981e-4,153.21
1734361200036,2024-12-16T15:00:00.036Z,2.861043e-4,187.97
1734364800030,2024-12-16T16:00:00.030Z,1.729897e-4,113.65
1734368400128,2024-12-16T17:00:00.128Z,1.385911e-4,91.05
1734372000081,2024-12-16T18:00:00.081Z,2.030145e-4,133.38
1734375600179,2024-12-16T19:00:00.179Z,2.234217e-4,146.79
1734379200011,2024-12-16T20:00:00.011Z,2.802144e-4,184.10
1734382800139,2024-12-16T21:00:00.139Z,2.905430e-4,190.89
1734386400178,2024-12-16T22:00:00.178Z,3.041320e-4,199.81
1734390000141,2024-12-16T23:00:00.141Z,2.206954e-4,145.00
1734393600027,2024-12-17T00:00:00.027Z,2.007595e-4,131.90
1734397200190,2024-12-17T01:00:00.190Z,1.840224e-4,120.90
